2204,0.6343994,0.5118408,3.4207153,3.9967651,18,32,15,-31,-5,-78
2219,0.6347656,0.51275635,3.421997,3.9959106,19,-100,17,75,-5,78
2219,0.6352539,0.5137329,3.4234009,3.9950562,20,-106,18,91,-6,-27
2235,0.6359253,0.51464844,3.4249268,3.9943237,21,71,19,42,-6,-87
2251,0.63671875,0.5154419,3.4266357,3.9935913,21,-32,19,-62,-6,-89
2251,0.6376343,0.51623535,3.4282837,3.992859,22,88,20,53,-6,-102
2267,0.63861084,0.51690674,3.4300537,3.9921875,22,-74,20,-106,-6,-108
2283,0.6397705,0.5175781,3.4319458,3.9915771,22,-15,20,-31,-6,-75
2283,0.6409912,0.5181885,3.433899,3.9909668,23,47,21,34,-6,-38
2299,0.6421509,0.5187988,3.435791,3.9902344,23,93,21,81,-6,-14
2299,0.64331055,0.51934814,3.437622,3.989441,23,-115,21,124,-5,9
2315,0.64434814,0.5199585,3.439392,3.9885254,23,-83,21,-92,-5,13
2331,0.64538574,0.5206299,3.4412231,3.9875488,23,-49,21,-60,-5,86
2331,0.64630127,0.52124023,3.442871,3.9863281,24,7,21,-29,-5,-103
2347,0.6470947,0.5219116,3.444458,3.9850464,24,9,22,0,-5,-75
2363,0.64782715,0.52264404,3.446045,3.9835815,23,-26,22,26,-5,-82
2363,0.6486206,0.5234375,3.447815,3.9821777,23,-91,22,52,-5,-113
2379,0.64953613,0.524292,3.449707,3.980713,23,102,22,80,-5,-109
2394,0.65063477,0.5250244,3.4517822,3.979309,23,46,22,111,-5,-67
2395,0.65185547,0.5258179,3.4539795,3.9779663,23,18,22,-120,-5,-30
2410,0.65301514,0.5265503,3.4562378,3.9765625,23,8,22,-90,-4,43
2411,0.6541748,0.52734375,3.458374,3.9751587,22,-9,22,-55,-4,119
2426,0.65515137,0.5281372,3.4604492,3.9736328,22,-7,22,-17,-4,-31
2443,0.6558838,0.5289917,3.4622192,3.9718628,22,-6,23,18,-3,67
2444,0.65631104,0.5299072,3.463745,3.9699097,22,-31,23,47,-3,120
2459,0.6564331,0.5309448,3.465088,3.9677734,22,-61,23,71,-3,-103
2474,0.6563721,0.53204346,3.4661865,3.9655762,22,-116,23,95,-3,-111
2474,0.6561279,0.5332031,3.4672852,3.9632568,22,72,23,117,-3,108
2490,0.6559448,0.5344238,3.4684448,3.9609985,22,29,23,-113,-3,83
2491,0.6557007,0.53570557,3.4695435,3.9587402,21,-12,23,-82,-3,60
2506,0.65545654,0.5369873,3.4707642,3.956421,21,-40,23,-58,-3,60
2523,0.65509033,0.5383301,3.4718628,3.9541016,21,-92,23,-29,-3,46
2524,0.6547241,0.53967285,3.4730225,3.9517212,21,73,24,0,-4,-1
2539,0.6542969,0.54107666,3.474121,3.9493408,20,-38,24,23,-4,-93
2555,0.65411377,0.54241943,3.475525,3.9471436,20,115,24,54,-4,84
2571,0.65441895,0.5449219,3.4789429,3.9431763,20,44,24,125,-4,85
2571,0.6547241,0.54608154,3.480713,3.9413452,20,49,24,-111,-4,73
2587,0.65509033,0.5472412,3.482605,3.9395142,20,19,24,-83,-4,108
2603,0.6553955,0.5484009,3.484436,3.937683,19,-21,24,-57,-4,89
2603,0.65563965,0.5494995,3.486206,3.935913,19,-52,24,-28,-4,76
2619,0.6560669,0.55059814,3.4880981,3.934204,19,-66,25,0,-4,83
2634,0.6564331,0.5516968,3.4899292,3.932434,19,-88,25,33,-4,-100
2635,0.65667725,0.55267334,3.4916382,3.930481,19,-122,25,59,-4,-87
2650,0.65686035,0.553772,3.4932861,3.9285889,19,89,25,86,-4,-94
2650,0.6571045,0.5548096,3.494995,3.9266968,19,46,25,119,-4,-60
2666,0.65734863,0.55578613,3.496704,3.9248047,19,25,25,-111,-4,-46
2683,0.6575928,0.5567627,3.498413,3.9229126,19,30,25,-84,-3,19
2683,0.65771484,0.5576782,3.499939,3.9209595,19,8,25,-57,-3,35
2699,0.65771484,0.5587158,3.5014038,3.9189453,18,-35,25,-28,-3,50
2715,0.6576538,0.5597534,3.5028076,3.91687,18,-92,25,-6,-3,57
2715,0.65753174,0.560791,3.5041504,3.914795,18,105,26,17,-3,63
2731,0.65740967,0.5618286,3.5054932,3.9126587,18,69,26,40,-3,89
2875,0.65075684,0.5784912,3.5219727,3.8845825,16,80,27,104,-3,10
2875,0.65026855,0.57977295,3.5233154,3.8828125,16,56,27,124,-4,-48
2891,0.6497803,0.58117676,3.5248413,3.8811035,16,62,27,-114,-4,-49
2891,0.649292,0.58258057,3.5263062,3.8792725,16,81,27,-100,-4,-8
2907,0.6486206,0.58392334,3.527588,3.8772583,16,93,27,-88,-4,-5
2922,0.64782715,0.58532715,3.5287476,3.875183,16,85,27,-65,-3,14
2922,0.6468506,0.58673096,3.5297852,3.8728027,16,59,27,-40,-3,60
2939,0.6456299,0.58813477,3.5305786,3.8701782,15,-36,27,-20,-3,23
2955,0.6442261,0.58966064,3.531372,3.8674316,15,105,27,-2,-4,-61
2955,0.64294434,0.5911865,3.5322266,3.864685,14,-6,28,15,-4,-116
2971,0.6416626,0.59265137,3.533142,3.8619995,14,-121,28,33,-4,99
2987,0.6390991,0.59552,3.534851,3.8567505,13,-88,28,70,-5,-57
3003,0.63812256,0.5969238,3.5359497,3.8545532,13,-127,28,86,-5,121
3003,0.6373291,0.59820557,3.5372314,3.852539,13,119,28,103,-5,127
3019,0.63671875,0.59942627,3.5385742,3.850525,13,102,28,-127,-5,-85
3034,0.6359253,0.60058594,3.539734,3.8483276,13,80,28,-107,-5,-65
3035,0.6350708,0.6016846,3.5407715,3.8460083,13,43,28,-89,-5,-66
3050,0.6342163,0.6027832,3.541809,3.843628,12,-17,28,-65,-5,-59
3050,0.6333618,0.60375977,3.5427246,3.8411865,12,-80,28,-44,-5,-73
3066,0.6324463,0.60479736,3.5437012,3.8388062,12,120,28,-25,-5,-110
3083,0.63171387,0.6057739,3.5447388,3.836609,12,78,28,-7,-5,-119
3083,0.63098145,0.6067505,3.5458374,3.8344727,12,54,29,9,-5,-92
3099,0.630249,0.607605,3.546753,3.8323364,12,7,29,20,-5,-77
3115,0.62945557,0.6085205,3.5476074,3.8302002,11,-24,29,33,-5,-95
3115,0.6286011,0.60931396,3.5483398,3.828064,11,-83,29,56,-5,-122
3130,0.6278076,0.61016846,3.5492554,3.8259277,11,56,29,77,-5,68
3131,0.6272583,0.61102295,3.550354,3.8240356,10,-35,29,90,-5,6
3146,0.62701416,0.6118164,3.5517578,3.8223267,10,-98,29,108,-5,2
3163,0.62683105,0.6124878,3.5531006,3.8207397,10,121,29,124,-5,31
3163,0.626709,0.61309814,3.5543823,3.8191528,10,79,29,-117,-5,32
3179,0.626709,0.6137085,3.5557861,3.817749,10,39,29,-104,-5,63
3195,0.6268921,0.6142578,3.557251,3.8165283,10,65,29,-95,-5,109
3195,0.6270752,0.6147461,3.5586548,3.8154907,10,118,29,-76,-5,-46
3211,0.6272583,0.61517334,3.5599976,3.814331,10,-90,29,-52,-4,87
3211,0.6272583,0.6156006,3.5611572,3.8129883,10,-42,29,-34,-4,-72
3227,0.62701416,0.61608887,3.5620728,3.8115845,10,-17,29,-25,-4,-28
3242,0.6265259,0.6166382,3.5628662,3.8099976,10,-42,29,-11,-4,-16
3243,0.6258545,0.61724854,3.5635986,3.8082275,10,-100,29,-4,-4,-7
3258,0.6251221,0.61798096,3.564209,3.8065796,10,96,30,0,-4,-83
3275,0.62438965,0.6187744,3.5649414,3.8051147,10,54,30,8,-4,-103
3275,0.6236572,0.61950684,3.5656738,3.80365,9,-22,30,16,-4,109
3291,0.62298584,0.62042236,3.5665283,3.8023071,9,-92,30,29,-4,60
3291,0.6224365,0.62127686,3.567505,3.8012085,9,-127,30,30,-4,40
3307,0.6218872,0.6221924,3.5685425,3.8001099,9,105,30,37,-4,49
3323,0.6213379,0.62298584,3.569397,3.7990112,9,108,30,42,-4,31
3323,0.6206665,0.62384033,3.5702515,3.7979126,9,-127,30,45,-4,32
3339,0.6199951,0.6246948,3.570984,3.796753,9,-95,30,43,-4,47
3354,0.61920166,0.6255493,3.5717163,3.7955322,9,-70,30,57,-4,56
3355,0.61834717,0.62646484,3.5723877,3.7943115,9,-30,30,68,-4,100
3370,0.6173706,0.62731934,3.572998,3.7928467,10,1,30,74,-4,-112
3371,0.6161499,0.62823486,3.5733643,3.7910767,9,-35,30,86,-4,-122
3386,0.6147461,0.6292114,3.5737305,3.7891235,9,-119,30,86,-4,31
3403,0.6132202,0.63031006,3.5742188,3.7871704,9,37,30,81,-5,-77
3403,0.61187744,0.6314087,3.574829,3.7852783,8,-25,30,79,-5,89
3419,0.61053467,0.6325073,3.5754395,3.7835083,8,-85,30,86,-5,41
3435,0.6092529,0.63360596,3.5761719,3.7816162,8,-122,30,92,-5,60
3435,0.6079712,0.6345215,3.5767212,3.779602,8,-121,30,95,-5,42
3451,0.60650635,0.635437,3.5770874,3.7775269,8,82,30,91,-6,-67
3451,0.60510254,0.6364746,3.5776978,3.7754517,7,-25,30,101,-6,84
3467,0.60388184,0.6374512,3.5785522,3.7735596,7,103,30,100,-7,-23
3482,0.6029663,0.6385498,3.579773,3.7717896,6,-77,29,-15,-7,-70
3483,0.60266113,0.6395874,3.5819702,3.7699585,5,-39,27,-47,-6,-89
3499,0.60406494,0.63964844,3.5855103,3.767334,5,89,26,-74,-4,-125
3515,0.60528564,0.63952637,3.5891724,3.763855,5,-115,27,2,-5,98
3515,0.6054077,0.64001465,3.592102,3.760315,6,72,28,11,-6,-100
3531,0.6044922,0.6412964,3.5947876,3.756775,5,122,27,47,-7,-76
3547,0.60198975,0.6445923,3.5997925,3.7512207,6,7,26,-9,-7,-53
3562,0.60150146,0.64556885,3.6016235,3.7496948,5,67,26,-64,-6,30
